OID_,MODE,NAMEID,NAME,OPERATOR,ONEWAY,RT_DIST,PK_PRD,OK_PRD,PK_HEADWAY,OK_HEADWAY,PK_RT_TIME,OK_RT_TIME,PK_SPEED,OK_SPEED,PK_D_BOARD,PK_W_BOARD,PK_BOARD,PK_ALIGHT,OK_D_BOARD,OK_W_BOARD,OK_BOARD,OK_ALIGHT,DY_D_BOARD,DY_W_BOARD,DY_BOARD,DY_ALIGHT,PK_VEH,OK_VEH,DY_VEH,PK_REVMI,OK_REVMI,DY_REVMI,PK_REVHR,OK_REVHR,DY_REVHR
,4,11.0000000,M831_WPr,0.000000000000000,0,23.6599998,6,10,30,30,85.3600006,85.1600037,16.6000004,16.7000008,7.0100002,777.4899902,784.5000000,784.5000000,3.5599999,514.0700073,517.6300049,517.6300049,10.5699997,1291.5600586,1302.1300049,1302.1300049,3.0000000,3.0000000,3.0000000,283.9200134,473.2000122,757.1199951,18.0000000,30.0000000,48.0000000
,4,12.0000000,M833_CntPr,0.000000000000000,1,9.7299995,6,10,30,60,31.3500004,31.2199993,18.6000004,18.7000008,1.1500000,149.5399933,150.6900024,150.6900024,0.4800000,98.8899994,99.3700027,99.3700027,1.6300000,248.4299927,250.0599976,250.0599976,2.0000000,1.0000000,2.0000000,116.7600021,97.3000031,214.0599976,12.0000000,10.0000000,22.0000000
,4,13.0000000,M834_EstPr,0.000000000000000,0,17.3199997,6,10,60,60,54.2900009,53.9300003,19.1000004,19.2999992,15.9799995,312.8599854,328.8399963,328.8399963,5.7399998,286.5199890,292.2600098,292.2600098,21.7199993,599.3800049,621.0999756,621.0999756,1.0000000,1.0000000,1.0000000,103.9199982,173.1999969,277.1199951,6.0000000,10.0000000,16.0000000
,4,14.0000000,M841_UVU,0.000000000000000,0,5.1799998,6,10,30,30,20.3400002,20.2299995,15.3000002,15.3999996,0.6300000,74.9800034,75.6100006,75.6100006,0.1800000,32.5000000,32.6800003,32.6800003,0.8100000,107.4800034,108.2900009,108.2900009,1.0000000,1.0000000,1.0000000,62.1599998,103.5999985,165.7599945,6.0000000,10.0000000,16.0000000
,4,15.0000000,M850_StateStreet,0.000000000000000,1,45.5999985,6,10,15,15,150.1699982,148.9199982,18.2000008,18.3999996,57.0499992,1551.1700439,1608.2199707,1608.2199707,23.0100002,1150.0699463,1173.0799561,1173.0799561,80.0599976,2701.2399902,2781.3000488,2781.3000488,11.0000000,10.0000000,11.0000000,1094.4000244,1824.0000000,2918.3999023,66.0000000,100.0000000,166.0000000
,4,16.0000000,M862_Orem,0.000000000000000,0,28.2800007,6,10,30,30,101.1200027,101.0199966,16.7999992,16.7999992,54.3199997,628.2600098,682.5800171,682.5800171,5.6399999,271.7000122,277.3399963,277.3399963,59.9599991,899.9600220,959.9199829,959.9199829,4.0000000,4.0000000,4.0000000,339.3599854,565.5999756,904.9600220,24.0000000,40.0000000,64.0000000
,4,17.0000000,M864_ThanksgivingPnt,0.000000000000000,1,6.9400001,6,10,30,30,22.8299999,22.6299992,18.2000008,18.3999996,1.3900000,72.6999969,74.0899963,74.0899963,0.3000000,16.0799999,16.3799992,16.3799992,1.6900001,88.7799988,90.4700012,90.4700012,1.0000000,1.0000000,1.0000000,83.2799988,138.8000031,222.0800018,6.0000000,10.0000000,16.0000000
,4,18.0000000,M871_SLtoUtahCnty,0.000000000000000,1,26.2900009,6,10,30,30,64.4100037,60.3499985,24.5000000,26.1000004,3.3399999,96.9599991,100.3000031,100.3000031,1.2600000,46.1399994,47.4000015,47.4000015,4.5999999,143.1000061,147.6999969,147.6999969,3.0000000,3.0000000,3.0000000,315.4800110,525.7999878,841.2800293,18.0000000,30.0000000,48.0000000
,4,19.0000000,O601,0.000000000000000,1,3.7100000,6,10,20,20,13.3699999,13.3900003,16.6000004,16.6000004,0.2500000,35.1199989,35.3699989,35.3699989,0.0000000,18.3199997,18.3199997,18.3199997,0.2500000,53.4399986,53.6899986,53.6899986,1.0000000,1.0000000,1.0000000,66.7799988,111.3000031,178.0800018,6.0000000,10.0000000,16.0000000
,4,20.0000000,O603,0.000000000000000,0,10.3000002,6,10,15,15,36.7099991,35.9500008,16.7999992,17.2000008,116.7399979,788.4500122,905.1900024,905.1900024,2.6400001,313.8599854,316.5000000,316.5000000,119.3799973,1102.3100586,1221.6899414,1221.6899414,3.0000000,3.0000000,3.0000000,247.1999969,412.0000000,659.2000122,18.0000000,30.0000000,48.0000000
